FID;GEBIED;GEBOMSCH;LOCATIE;LOCOMSCH;X_WGS;Y_WGS
5456;VEERSMR;Veerse meer;VROUWPDNLPDN;Vrouwenpolder, Nieuwlandpolder noord;3.631079;51.581706
5457;VEERSMR;Veerse meer;VROUWPDNLPDO;Vrouwenpolder, Nieuwlandpolder oost;3.639309;51.565519
5458;VEERSMR;Veerse meer;VROUWPDR;Vrouwenpolder;3.640740;51.565811
5459;VEERSMR;Veerse meer;WILHMNDWHMNP;Wilhelminadorp Wilhelminapolder kust wes;3.863768;51.540340
5460;VEERSMR;Veerse meer;WILLPDGIG;Willempolder glooiing;3.772400;51.555297
5461;VEERSMR;Veerse meer;WOLPDJHVZKK;Wolphaartsdijk Jachthaven Zandkreek;3.820982;51.547641
5462;VEERSMR;Veerse meer;WOLPDK;Wolphaartsdijk;3.815177;51.548687
5463;VEERSMR;Veerse meer;WOLPDSVSHVN;Wolphaartsdijk Sportvissershaven;3.821311;51.548545
5464;VEERSMR;Veerse meer;WOLPHDKTBG;Wolphaartsdijk, Kwistenburg;3.841085;51.544250
5465;VEERSMR;Veerse meer;WOLPHDSHBSD;Wolphaartsdijk Schelphoek badstrand;3.798780;51.543340
5466;VEERSMR;Veerse meer;WOLPHDWTLPDS;Wolphaartsdijk Westerlandpolder schor;3.790205;51.541156
5467;VEERSMR;Veerse meer;ZANDKDWT;Zandkreekdam west;3.854279;51.543812
5468;VEERSMR;Veerse meer;ZANDKPT;Zandkreekplaat;3.723751;51.533997
5469;VEERSMR;Veerse meer;ZANDKSBNN;Zandkreeksluis binnen;3.862251;51.542568
