FID;GEBIED;GEBOMSCH;LOCATIE;LOCOMSCH;X_WGS;Y_WGS;X_RD;Y_RD;Bron
5239;RIJN;Rijn / Bovenrijn;BIJLJHVN;Bijland jachthaven (recreatieplas kilome;6.09474;51.862782;203700;430600;DONAR_RD
5240;RIJN;Rijn / Bovenrijn;BIJLND;Bijland (recreatieplas);6.088291;51.868214;203250;431200;DONAR_RD
5241;RIJN;Rijn / Bovenrijn;LOBH;Lobith;6.104141;51.851308;204360;429330;DONAR_RD
5242;RIJN;Rijn / Bovenrijn;LOBPTN;Lobith ponton;6.091717;51.855159;203500;429750;DONAR_RD
5243;RIJN;Rijn / Bovenrijn;LOBVHVN;Lobith vluchthaven;6.092425;51.856809;203547;429934;DONAR_RD
5244;RIJN;Rijn / Bovenrijn;MILLGADRN866;Millingen aan de Rijn, kilometer 866;6.062921;51.87106;201500;431500;DONAR_RD
5245;RIJN;Rijn / Bovenrijn;SPIJKSDK860;Spijkse dijk, kilometer 860;6.135198;51.850845;206500;429300;DONAR_RD
5246;RIJNDLD;Rijn  (Duitsland);BIMMN;Bimmen;6.083111;51.861952;202900;430500;DONAR_RD
5247;RIJNDLD;Rijn  (Duitsland);EMMRH;Emmerich;6.248597;51.829571;214340;427020;DONAR_RD
