Locations
BOCHTVWTM
BOCHTVWTMDOT
BOCHTVWTMDWT
BOCHTVWTND
BOCHTVWTZD
GROOTGND
GROOTGZD
HUIBGNOT
HUIBGOT
ROTTMPT3
TERSLG10
