FID;GEBIED;GEBOMSCH;LOCATIE;LOCOMSCH;X_WGS;Y_WGS;X_RD;Y_RD;Bron
638;NOORDZE;Noordzee  (internationaal);MIJNBVKO12;Mijnbouwvak O12 (deelgebied);2.833333;52.416667;-18730;495045;DONAR_E50
639;NOORDZE;Noordzee  (internationaal);MIJNBVKO15;Mijnbouwvak O15 (deelgebied);2.833333;52.250000;-19383;476512;DONAR_E50
640;NOORDZE;Noordzee  (internationaal);MIJNBVKO17;Mijnbouwvak O17 (deelgebied);2.500000;52.083333;-42870;458835;DONAR_E50
641;NOORDZE;Noordzee  (internationaal);MIJNBVKO18;Mijnbouwvak O18 (deelgebied);2.833333;52.083333;-20036;457978;DONAR_E50
642;NOORDZE;Noordzee  (internationaal);MIJNBVKP01;Mijnbouwvak P01 (deelgebied);3.166667;52.916667;5645;549909;DONAR_E50
643;NOORDZE;Noordzee  (internationaal);MIJNBVKP02;Mijnbouwvak P02 (deelgebied);3.500000;52.916667;28057;549271;DONAR_E50
644;NOORDZE;Noordzee  (internationaal);MIJNBVKP03;Mijnbouwvak P03 (deelgebied);3.833333;52.916667;50471;548736;DONAR_E50
645;NOORDZE;Noordzee  (internationaal);MIJNBVKP04;Mijnbouwvak P04 (deelgebied);3.166667;52.750000;5075;531371;DONAR_E50
646;NOORDZE;Noordzee  (internationaal);MIJNBVKP05;Mijnbouwvak P05 (deelgebied);3.500000;52.750000;27572;530731;DONAR_E50
647;NOORDZE;Noordzee  (internationaal);MIJNBVKP06;Mijnbouwvak P06 (deelgebied);3.833333;52.750000;50072;530195;DONAR_E50
648;NOORDZE;Noordzee  (internationaal);MIJNBVKP07;Mijnbouwvak P07 (deelgebied);3.166667;52.583333;4505;512834;DONAR_E50
649;NOORDZE;Noordzee  (internationaal);MIJNBVKP08;Mijnbouwvak P08 (deelgebied);3.500000;52.583333;27088;512193;DONAR_E50
650;NOORDZE;Noordzee  (internationaal);MIJNBVKP09;Mijnbouwvak P09 (deelgebied);3.833333;52.583333;49673;511655;DONAR_E50
651;NOORDZE;Noordzee  (internationaal);MIJNBVKP10;Mijnbouwvak P10 (deelgebied);3.166667;52.416667;3936;494298;DONAR_E50
652;NOORDZE;Noordzee  (internationaal);MIJNBVKP11;Mijnbouwvak P11 (deelgebied);3.500000;52.416667;26605;493655;DONAR_E50
653;NOORDZE;Noordzee  (internationaal);MIJNBVKP12;Mijnbouwvak P12 (deelgebied);3.833333;52.416667;49275;493116;DONAR_E50
654;NOORDZE;Noordzee  (internationaal);MIJNBVKP13;Mijnbouwvak P13 (deelgebied);3.166667;52.250000;3368;475762;DONAR_E50
655;NOORDZE;Noordzee  (internationaal);MIJNBVKP14;Mijnbouwvak P14 (deelgebied);3.500000;52.250000;26122;475117;DONAR_E50
656;NOORDZE;Noordzee  (internationaal);MIJNBVKP15;Mijnbouwvak P15 (deelgebied);3.833333;52.250000;48877;474577;DONAR_E50
657;NOORDZE;Noordzee  (internationaal);MIJNBVKP16;Mijnbouwvak P16 (deelgebied);3.166667;52.083333;2801;457227;DONAR_E50
658;NOORDZE;Noordzee  (internationaal);MIJNBVKP17;Mijnbouwvak P17 (deelgebied);3.500000;52.083333;25639;456580;DONAR_E50
659;NOORDZE;Noordzee  (internationaal);MIJNBVKP18;Mijnbouwvak P18 (deelgebied);3.833333;52.083333;48480;456039;DONAR_E50
660;NOORDZE;Noordzee  (internationaal);MIJNBVKQ01;Mijnbouwvak Q01 (deelgebied);4.166667;52.916667;72886;548305;DONAR_E50
661;NOORDZE;Noordzee  (internationaal);MIJNBVKQ02;Mijnbouwvak Q02 (deelgebied);4.500000;52.916667;95303;547978;DONAR_E50
662;NOORDZE;Noordzee  (internationaal);MIJNBVKQ03;Mijnbouwvak Q03 (deelgebied);4.833333;52.916667;117720;547754;DONAR_E50
663;NOORDZE;Noordzee  (internationaal);MIJNBVKQ04;Mijnbouwvak Q04 (deelgebied);4.166667;52.750000;72573;529763;DONAR_E50
664;NOORDZE;Noordzee  (internationaal);MIJNBVKQ05;Mijnbouwvak Q05 (deelgebied);4.500000;52.750000;95075;529435;DONAR_E50
665;NOORDZE;Noordzee  (internationaal);MIJNBVKQ06;Mijnbouwvak Q06 (deelgebied);4.833333;52.750000;117578;529210;DONAR_E50
666;NOORDZE;Noordzee  (internationaal);MIJNBVKQ07;Mijnbouwvak Q07 (deelgebied);4.166667;52.583333;72260;511222;DONAR_E50
667;NOORDZE;Noordzee  (internationaal);MIJNBVKQ08;Mijnbouwvak Q08 (deelgebied);4.500000;52.583333;94847;510893;DONAR_E50
668;NOORDZE;Noordzee  (internationaal);MIJNBVKQ09;Mijnbouwvak Q09 (deelgebied);4.833333;52.583333;117436;510668;DONAR_E50
669;NOORDZE;Noordzee  (internationaal);MIJNBVKQ10;Mijnbouwvak Q10 (deelgebied);4.166667;52.416667;71947;492681;DONAR_E50
670;NOORDZE;Noordzee  (internationaal);MIJNBVKQ11;Mijnbouwvak Q11 (deelgebied);4.500000;52.416667;94620;492351;DONAR_E50
671;NOORDZE;Noordzee  (internationaal);MIJNBVKQ13;Mijnbouwvak Q13 (deelgebied);4.166667;52.250000;71635;474141;DONAR_E50
672;NOORDZE;Noordzee  (internationaal);MIJNBVKQ14;Mijnbouwvak Q14 (deelgebied);4.500000;52.250000;94393;473810;DONAR_E50
673;NOORDZE;Noordzee  (internationaal);MIJNBVKQ16;Mijnbouwvak Q16 (deelgebied);4.166667;52.083333;71323;455602;DONAR_E50
674;NOORDZE;Noordzee  (internationaal);MIJNBVKQ17;Mijnbouwvak Q17 (deelgebied);4.500000;52.083333;94166;455270;DONAR_E50
675;NOORDZE;Noordzee  (internationaal);MIJNBVKR02;Mijnbouwvak R02 (deelgebied);2.500000;51.916667;-43607;440304;DONAR_E50
676;NOORDZE;Noordzee  (internationaal);MIJNBVKR03;Mijnbouwvak R03 (deelgebied);2.833333;51.916667;-20688;439446;DONAR_E50
677;NOORDZE;Noordzee  (internationaal);MIJNBVKR05;Mijnbouwvak R05 (deelgebied);2.500000;51.750000;-44344;421774;DONAR_E50
678;NOORDZE;Noordzee  (internationaal);MIJNBVKR06;Mijnbouwvak R06 (deelgebied);2.833333;51.750000;-21339;420913;DONAR_E50
679;NOORDZE;Noordzee  (internationaal);MIJNBVKR09;Mijnbouwvak R09 (deelgebied);2.833333;51.583333;-21990;402381;DONAR_E50
680;NOORDZE;Noordzee  (internationaal);MIJNBVKR12;Mijnbouwvak R12 (deelgebied);2.833333;51.416667;-22640;383849;DONAR_E50
681;NOORDZE;Noordzee  (internationaal);MIJNBVKR14;Mijnbouwvak R14 (deelgebied);2.500000;51.250000;-46548;366185;DONAR_E50
682;NOORDZE;Noordzee  (internationaal);MIJNBVKR15;Mijnbouwvak R15 (deelgebied);2.833333;51.250000;-23289;365317;DONAR_E50
683;NOORDZE;Noordzee  (internationaal);MIJNBVKR17;Mijnbouwvak R17 (deelgebied);2.500000;51.083333;-47280;347655;DONAR_E50
684;NOORDZE;Noordzee  (internationaal);MIJNBVKR18;Mijnbouwvak R18 (deelgebied);2.833333;51.083333;-23937;346786;DONAR_E50
685;NOORDZE;Noordzee  (internationaal);MIJNBVKS01;Mijnbouwvak S01 (deelgebied);3.166667;51.916667;2234;438692;DONAR_E50
686;NOORDZE;Noordzee  (internationaal);MIJNBVKS02;Mijnbouwvak S02 (deelgebied);3.500000;51.916667;25158;438044;DONAR_E50
687;NOORDZE;Noordzee  (internationaal);MIJNBVKS03;Mijnbouwvak S03 (deelgebied);3.833333;51.916667;48083;437501;DONAR_E50
688;NOORDZE;Noordzee  (internationaal);MIJNBVKS04;Mijnbouwvak S04 (deelgebied);3.166667;51.750000;1667;420158;DONAR_E50
689;NOORDZE;Noordzee  (internationaal);MIJNBVKS05;Mijnbouwvak S05 (deelgebied);3.500000;51.750000;24676;419508;DONAR_E50
690;NOORDZE;Noordzee  (internationaal);MIJNBVKS06;Mijnbouwvak S06 (deelgebied);3.833333;51.750000;47687;418963;DONAR_E50
691;NOORDZE;Noordzee  (internationaal);MIJNBVKS07;Mijnbouwvak S07 (deelgebied);3.166667;51.583333;1102;401624;DONAR_E50
692;NOORDZE;Noordzee  (internationaal);MIJNBVKS08;Mijnbouwvak S08 (deelgebied);3.500000;51.583333;24195;400972;DONAR_E50
693;NOORDZE;Noordzee  (internationaal);MIJNBVKS09;Mijnbouwvak S09 (deelgebied);3.833333;51.583333;47291;400426;DONAR_E50
694;NOORDZE;Noordzee  (internationaal);MIJNBVKS10;Mijnbouwvak S10 (deelgebied);3.166667;51.416667;537;383090;DONAR_E50
695;NOORDZE;Noordzee  (internationaal);MIJNBVKS11;Mijnbouwvak S11 (deelgebied);3.500000;51.416667;23715;382437;DONAR_E50
696;NOORDZE;Noordzee  (internationaal);MIJNBVKS13;Mijnbouwvak S13 (deelgebied);3.166667;51.250000;-28;364556;DONAR_E50
697;NOORDZE;Noordzee  (internationaal);MIJNBVKS14;Mijnbouwvak S14 (deelgebied);3.500000;51.250000;23236;363901;DONAR_E50
698;NOORDZE;Noordzee  (internationaal);MIJNBVKT01;Mijnbouwvak T01 (deelgebied);4.166667;51.916667;71011;437063;DONAR_E50
699;NOORDZE;Noordzee  (internationaal);MIJNBVKZ01;Mijnbouwvak @01 (deelgebied);2.166667;55.916667;-46519;886217;DONAR_E50
700;NOORDZE;Noordzee  (internationaal);MIJNBVKZ02;Mijnbouwvak @02 (deelgebied);2.500000;55.916667;-25674;885316;DONAR_E50
701;NOORDZE;Noordzee  (internationaal);MIJNBVKZ03;Mijnbouwvak @03 (deelgebied);2.833333;55.916667;-4825;884514;DONAR_E50
702;NOORDZE;Noordzee  (internationaal);MIJNBVKZ04;Mijnbouwvak @04 (deelgebied);2.166667;55.750000;-47364;867659;DONAR_E50
703;NOORDZE;Noordzee  (internationaal);MIJNBVKZ05;Mijnbouwvak @05 (deelgebied);2.500000;55.750000;-26431;866756;DONAR_E50
704;NOORDZE;Noordzee  (internationaal);MIJNBVKZ06;Mijnbouwvak @06 (deelgebied);2.833333;55.750000;-5495;865951;DONAR_E50
705;NOORDZE;Noordzee  (internationaal);MIJNBVKZ07;Mijnbouwvak @07 (deelgebied);2.166667;55.583333;-48208;849104;DONAR_E50
706;NOORDZE;Noordzee  (internationaal);MIJNBVKZ08;Mijnbouwvak @08 (deelgebied);2.500000;55.583333;-27188;848198;DONAR_E50
707;NOORDZE;Noordzee  (internationaal);MIJNBVKZ09;Mijnbouwvak @09 (deelgebied);2.833333;55.583333;-6164;847390;DONAR_E50
708;NOORDZE;Noordzee  (internationaal);MIJNBVKZ10;Mijnbouwvak @10 (deelgebied);2.166667;55.416667;-49051;830550;DONAR_E50
709;NOORDZE;Noordzee  (internationaal);MIJNBVKZ11;Mijnbouwvak @11 (deelgebied);2.500000;55.416667;-27944;829642;DONAR_E50
710;NOORDZE;Noordzee  (internationaal);MIJNBVKZ12;Mijnbouwvak @12 (deelgebied);2.833333;55.416667;-6833;828832;DONAR_E50
711;NOORDZE;Noordzee  (internationaal);MIJNBVKZ13;Mijnbouwvak @13 (deelgebied);2.166667;55.250000;-49893;811999;DONAR_E50
712;NOORDZE;Noordzee  (internationaal);MIJNBVKZ14;Mijnbouwvak @14 (deelgebied);2.500000;55.250000;-28698;811087;DONAR_E50
713;NOORDZE;Noordzee  (internationaal);MIJNBVKZ15;Mijnbouwvak @15 (deelgebied);2.833333;55.250000;-7500;810275;DONAR_E50
714;NOORDZE;Noordzee  (internationaal);MIJNBVKZ16;Mijnbouwvak @16 (deelgebied);2.166667;55.083333;-50734;793450;DONAR_E50
715;NOORDZE;Noordzee  (internationaal);MIJNBVKZ17;Mijnbouwvak @17 (deelgebied);2.500000;55.083333;-29452;792535;DONAR_E50
716;NOORDZE;Noordzee  (internationaal);MIJNBVKZ18;Mijnbouwvak @18 (deelgebied);2.833333;55.083333;-8167;791721;DONAR_E50
717;NOORDZE;Noordzee  (internationaal);PENRD;Penrod;4.216667;53.408333;77138;602955;DONAR_E50
718;NOORDZE;Noordzee  (internationaal);SCHIERMNOG40;Schiermonikoog 40 km u.d. kust;6.050000;53.925000;198513;660025;DONAR_E50
719;NOORDZE;Noordzee  (internationaal);SCHOUWN25;Schouwen 25 km uit de kust;3.306414;51.744749;11297;419288;DONAR_E50
720;NOORDZE;Noordzee  (internationaal);SCHOUWN30;Schouwen 30 km uit de kust;3.274451;51.839736;9397;429916;DONAR_E50
721;NOORDZE;Noordzee  (internationaal);SCHOUWN50;Schouwen 50 km uit de kust;3.058066;51.954735;-5099;443159;DONAR_E50
722;NOORDZE;Noordzee  (internationaal);TERSLDE1;Terschelling-Ameland - scheepvaartrout;5.418630;53.668340;157048;631258;DONAR_E50
723;NOORDZE;Noordzee  (internationaal);TERSLDE10;Terschelling-Ameland - scheepvaartrout;5.641111;53.720278;171732;637067;DONAR_E50
724;NOORDZE;Noordzee  (internationaal);TERSLDE2;Terschelling-Ameland - scheepvaartrout;5.568333;53.710833;166931;636001;DONAR_E50
725;NOORDZE;Noordzee  (internationaal);TERSLDE3;Terschelling-Ameland - scheepvaartrout;5.454190;53.653630;159400;629622;DONAR_E50
726;NOORDZE;Noordzee  (internationaal);TERSLDE4;Terschelling-Ameland - scheepvaartrout;5.958333;53.677778;192710;632457;DONAR_E50
727;NOORDZE;Noordzee  (internationaal);TERSLDE5;Terschelling-Ameland - scheepvaartrout;5.330860;53.623070;151243;626220;DONAR_E50
728;NOORDZE;Noordzee  (internationaal);TERSLDE6;Terschelling-Ameland - scheepvaartrout;5.448350;53.620280;159017;625910;DONAR_E50
729;NOORDZE;Noordzee  (internationaal);TERSLDE7;Terschelling-Ameland - scheepvaartrout;5.987778;53.691111;194644;633957;DONAR_E50
730;NOORDZE;Noordzee  (internationaal);TERSLDE8;Terschelling-Ameland - scheepvaartrout;5.661390;53.666960;173094;631138;DONAR_E50
731;NOORDZE;Noordzee  (internationaal);TERSLDE9;Terschelling-Ameland - scheepvaartrout;5.463056;53.639722;159988;628075;DONAR_E50
732;NOORDZE;Noordzee  (internationaal);TERSLDIE1;Terschelling-Ameland - inshore scheepv;5.957778;53.606111;192737;624481;DONAR_E50
733;NOORDZE;Noordzee  (internationaal);TERSLDIE2;Terschelling-Ameland - inshore scheepv;5.646670;53.552510;172167;618397;DONAR_E50
734;NOORDZE;Noordzee  (internationaal);TERSLDIE3;Terschelling-Ameland - inshore scheepv;5.403900;53.486120;156079;610978;DONAR_E50
735;NOORDZE;Noordzee  (internationaal);TERSLDIE4;Terschelling-Ameland - inshore scheepv;5.335280;53.478350;151524;610114;DONAR_E50
736;NOORDZE;Noordzee  (internationaal);TERSLDOE1;Terschelling-Ameland - offshore scheep;5.618906;53.783353;170244;644082;DONAR_E50
737;NOORDZE;Noordzee  (internationaal);TERSLDOE10;Terschelling-Ameland - offshore scheep;5.792783;53.784167;181704;644224;DONAR_E50
738;NOORDZE;Noordzee  (internationaal);TERSLDOE2;Terschelling-Ameland - offshore scheep;5.563628;53.779469;166601;643640;DONAR_E50
739;NOORDZE;Noordzee  (internationaal);TERSLDOE3;Terschelling-Ameland - offshore scheep;5.510292;53.850567;163072;651546;DONAR_E50
740;NOORDZE;Noordzee  (internationaal);TERSLDOE4;Terschelling-Ameland - offshore scheep;5.914453;53.853067;189668;651944;DONAR_E50
741;NOORDZE;Noordzee  (internationaal);TERSLDOE5;Terschelling-Ameland - offshore scheep;5.771389;53.809189;180279;647001;DONAR_E50
742;NOORDZE;Noordzee  (internationaal);TERSLDOE6;Terschelling-Ameland - offshore scheep;5.480858;53.785569;161144;644308;DONAR_E50
743;NOORDZE;Noordzee  (internationaal);TERSLDOE7;Terschelling-Ameland - offshore scheep;5.403911;53.846967;156071;651138;DONAR_E50
744;NOORDZE;Noordzee  (internationaal);TERSLDOE8;Terschelling-Ameland - offshore scheep;5.758069;53.760847;179430;641616;DONAR_E50
745;NOORDZE;Noordzee  (internationaal);TERSLDOE9;Terschelling-Ameland - offshore scheep;5.905556;53.821947;189107;648477;DONAR_E50
746;NOORDZE;Noordzee  (internationaal);TERSLNWT100;Terschelling noord west 100 km uit de;4.316667;54.150000;85019;685392;DONAR_E50
747;NOORDZE;Noordzee  (internationaal);TEXE1;Texel - scheepvaartroute 1;4.379175;53.424747;87969;604618;DONAR_E50
748;NOORDZE;Noordzee  (internationaal);TEXE10;Texel - scheepvaartroute 10;4.344733;53.449739;85720;607431;DONAR_E50
749;NOORDZE;Noordzee  (internationaal);TEXE2;Texel - scheepvaartroute 2;4.285564;53.441958;81776;606624;DONAR_E50
750;NOORDZE;Noordzee  (internationaal);TEXE3;Texel - scheepvaartroute 3;4.412514;53.235022;89898;583476;DONAR_E50
751;NOORDZE;Noordzee  (internationaal);TEXE4;Texel - scheepvaartroute 4;4.179444;53.204444;74282;580309;DONAR_E50
752;NOORDZE;Noordzee  (internationaal);TEXE5;Texel - scheepvaartroute 5;4.114167;53.256111;70023;586133;DONAR_E50
753;NOORDZE;Noordzee  (internationaal);TEXE6;Texel - scheepvaartroute 6;4.121389;53.325278;70640;593821;DONAR_E50
754;NOORDZE;Noordzee  (internationaal);TEXE7;Texel - scheepvaartroute 7;4.069444;53.246389;67019;585105;DONAR_E50
755;NOORDZE;Noordzee  (internationaal);TEXE8;Texel - scheepvaartroute 8;4.271944;53.312500;80648;592233;DONAR_E50
756;NOORDZE;Noordzee  (internationaal);TEXE9;Texel - scheepvaartroute 9;4.182236;53.411403;74854;603334;DONAR_E50
757;NOORDZE;Noordzee  (internationaal);TEXL70;Texel 70 km uit de kust;4.000000;53.500833;62931;613504;DONAR_E50
758;NOORDZE;Noordzee  (internationaal);TEXLSP;Texel lichtschip;4.301111;53.027778;82114;560523;DONAR_E50
759;NOORDZE;Noordzee  (internationaal);TEXOE1;Texel - offshore scheepvaartroute 1;4.501944;53.102222;95687;568622;DONAR_E50
760;NOORDZE;Noordzee  (internationaal);TEXOE10;Texel - offshore scheepvaartroute 10;4.358056;53.263333;86308;586676;DONAR_E50
761;NOORDZE;Noordzee  (internationaal);TEXOE2;Texel - offshore scheepvaartroute 2;4.471944;53.166667;93769;575818;DONAR_E50
762;NOORDZE;Noordzee  (internationaal);TEXOE3;Texel - offshore scheepvaartroute 3;4.473075;53.362794;94122;597640;DONAR_E50
763;NOORDZE;Noordzee  (internationaal);TEXOE4;Texel - offshore scheepvaartroute 4;4.533889;53.157222;97899;574716;DONAR_E50
764;NOORDZE;Noordzee  (internationaal);TEXOE5;Texel - offshore scheepvaartroute 5;4.518611;53.172222;96897;576397;DONAR_E50
765;NOORDZE;Noordzee  (internationaal);TEXOE6;Texel - offshore scheepvaartroute 6;4.589167;53.306944;101781;591333;DONAR_E50
766;NOORDZE;Noordzee  (internationaal);TEXOE7;Texel - offshore scheepvaartroute 7;4.584728;53.364744;101556;597769;DONAR_E50
767;NOORDZE;Noordzee  (internationaal);TEXOE8;Texel - offshore scheepvaartroute 8;4.345000;53.182222;85306;577664;DONAR_E50
768;NOORDZE;Noordzee  (internationaal);TEXOE9;Texel - offshore scheepvaartroute 9;4.506667;53.312778;96290;592047;DONAR_E50
769;NOORDZE;Noordzee  (internationaal);WALCRN30;Walcheren 30 km uit de kust;3.113611;51.718333;-2105;416749;DONAR_E50
770;NOORDZE;Noordzee  (internationaal);ZUIDLKNZE;Zuidelijke Noordzee (deelgebied);4.000000;53.166667;62214;576322;DONAR_E50
29;NOORDZE;Noordzee  (internationaal);SCHOUWN70;Schouwen 70 km uit de kust;2.828911;52.073348;-20378;456879;DONAR_WGS
